asm|cpu|synth|const|ops
cp a, (ix)|r5k|_||DD BE 00
cp a, (ix)|r6k|_||DD BE 00
cp a, (ix)|r800|_||DD BE 00
cp a, (ix)|z180|_||DD BE 00
cp a, (ix)|z80|_||DD BE 00
cp a, (ix)|z80n|_||DD BE 00
cp a, (ix+%d)|ez80|_||DD BE %d
cp a, (ix+%d)|ez80_strict|_||DD BE %d
cp a, (ix+%d)|ez80_z80|_||DD BE %d
cp a, (ix+%d)|ez80_z80_strict|_||DD BE %d
cp a, (ix+%d)|kc160|_||DD BE %d
cp a, (ix+%d)|kc160_z80|_||DD BE %d
cp a, (ix+%d)|r2ka|_||DD BE %d
cp a, (ix+%d)|r3k|_||DD BE %d
cp a, (ix+%d)|r4k|_||DD BE %d
cp a, (ix+%d)|r5k|_||DD BE %d
cp a, (ix+%d)|r6k|_||DD BE %d
cp a, (ix+%d)|r800|_||DD BE %d
cp a, (ix+%d)|z180|_||DD BE %d
cp a, (ix+%d)|z80|_||DD BE %d
cp a, (ix+%d)|z80n|_||DD BE %d
cp a, (iy)|ez80|_||FD BE 00
cp a, (iy)|ez80_strict|_||FD BE 00
cp a, (iy)|ez80_z80|_||FD BE 00
cp a, (iy)|ez80_z80_strict|_||FD BE 00
cp a, (iy)|kc160|_||FD BE 00
cp a, (iy)|kc160_z80|_||FD BE 00
cp a, (iy)|r2ka|_||FD BE 00
cp a, (iy)|r3k|_||FD BE 00
cp a, (iy)|r4k|_||FD BE 00
cp a, (iy)|r5k|_||FD BE 00
cp a, (iy)|r6k|_||FD BE 00
cp a, (iy)|r800|_||FD BE 00
cp a, (iy)|z180|_||FD BE 00
cp a, (iy)|z80|_||FD BE 00
cp a, (iy)|z80n|_||FD BE 00
cp a, (iy+%d)|ez80|_||FD BE %d
cp a, (iy+%d)|ez80_strict|_||FD BE %d
cp a, (iy+%d)|ez80_z80|_||FD BE %d
cp a, (iy+%d)|ez80_z80_strict|_||FD BE %d
cp a, (iy+%d)|kc160|_||FD BE %d
cp a, (iy+%d)|kc160_z80|_||FD BE %d
cp a, (iy+%d)|r2ka|_||FD BE %d
cp a, (iy+%d)|r3k|_||FD BE %d
cp a, (iy+%d)|r4k|_||FD BE %d
cp a, (iy+%d)|r5k|_||FD BE %d
cp a, (iy+%d)|r6k|_||FD BE %d
cp a, (iy+%d)|r800|_||FD BE %d
cp a, (iy+%d)|z180|_||FD BE %d
cp a, (iy+%d)|z80|_||FD BE %d
cp a, (iy+%d)|z80n|_||FD BE %d
cp a, (phl)|kc160|_||5B;BE
cp a, (pix)|kc160|_||5B;DD BE 00
cp a, (pix+%d)|kc160|_||5B;DD BE %d
cp a, (piy)|kc160|_||5B;FD BE 00
cp a, (piy+%d)|kc160|_||5B;FD BE %d
cp a, (pw)|r6k|_||49;74 00
cp a, (pw)|r6k_strict|_||49;74 00
cp a, (pw+%d)|r6k|_||49;74 %d
cp a, (pw+%d)|r6k_strict|_||49;74 %d
cp a, (px)|r6k|_||49;75 00
cp a, (px)|r6k_strict|_||49;75 00
cp a, (px+%d)|r6k|_||49;75 %d
cp a, (px+%d)|r6k_strict|_||49;75 %d
cp a, (py)|r6k|_||49;76;00
cp a, (py)|r6k_strict|_||49;76;00
cp a, (py+%d)|r6k|_||49;76 %d
cp a, (py+%d)|r6k_strict|_||49;76 %d
cp a, (pz)|r6k|_||49;77 00
cp a, (pz)|r6k_strict|_||49;77 00
cp a, (pz+%d)|r6k|_||49;77 %d
cp a, (pz+%d)|r6k_strict|_||49;77 %d
cp a, (sp+%n)|r6k|_||49;F9 %n
cp a, (sp+%n)|r6k_strict|_||49;F9 %n
cp a, (xhl)|kc160|_||40;BE
cp a, (xix)|kc160|_||40;DD BE 00
cp a, (xix+%d)|kc160|_||40;DD BE %d
cp a, (xiy)|kc160|_||40;FD BE 00
cp a, (xiy+%d)|kc160|_||40;FD BE %d
cp a, (yhl)|kc160|_||49;BE
cp a, (yix)|kc160|_||49;DD BE 00
cp a, (yix+%d)|kc160|_||49;DD BE %d
cp a, (yiy)|kc160|_||49;FD BE 00
cp a, (yiy+%d)|kc160|_||49;FD BE %d
cp a, (zhl)|kc160|_||7F;BE
cp a, (zix)|kc160|_||7F;DD BE 00
cp a, (zix+%d)|kc160|_||7F;DD BE %d
cp a, (ziy)|kc160|_||7F;FD BE 00
cp a, (ziy+%d)|kc160|_||7F;FD BE %d
cp a, a|8080|_||BF
cp a, a|8085|_||BF
cp a, a|ez80|_||BF
cp a, a|ez80_strict|_||BF
cp a, a|ez80_z80|_||BF
cp a, a|ez80_z80_strict|_||BF
cp a, a|gbz80|_||BF
cp a, a|kc160|_||BF
cp a, a|kc160_z80|_||BF
cp a, a|r2ka|_||BF
cp a, a|r3k|_||BF
cp a, a|r4k|_||7F;BF
cp a, a|r5k|_||7F;BF
cp a, a|r6k|_||7F;BF
cp a, a|r800|_||BF
cp a, a|z180|_||BF
cp a, a|z80|_||BF
cp a, a|z80n|_||BF
cp a, b|8080|_||B8
cp a, b|8085|_||B8
cp a, b|ez80|_||B8
cp a, b|ez80_strict|_||B8
cp a, b|ez80_z80|_||B8
cp a, b|ez80_z80_strict|_||B8
cp a, b|gbz80|_||B8
cp a, b|kc160|_||B8
cp a, b|kc160_z80|_||B8
cp a, b|r2ka|_||B8
cp a, b|r3k|_||B8
cp a, b|r4k|_||7F;B8
cp a, b|r5k|_||7F;B8
cp a, b|r6k|_||7F;B8
cp a, b|r800|_||B8
cp a, b|z180|_||B8
cp a, b|z80|_||B8
cp a, b|z80n|_||B8
cp a, c|8080|_||B9
cp a, c|8085|_||B9
cp a, c|ez80|_||B9
cp a, c|ez80_strict|_||B9
cp a, c|ez80_z80|_||B9
cp a, c|ez80_z80_strict|_||B9
cp a, c|gbz80|_||B9
cp a, c|kc160|_||B9
cp a, c|kc160_z80|_||B9
cp a, c|r2ka|_||B9
cp a, c|r3k|_||B9
cp a, c|r4k|_||7F;B9
cp a, c|r5k|_||7F;B9
cp a, c|r6k|_||7F;B9
cp a, c|r800|_||B9
cp a, c|z180|_||B9
cp a, c|z80|_||B9
cp a, c|z80n|_||B9
cp a, d|8080|_||BA
cp a, d|8085|_||BA
cp a, d|ez80|_||BA
cp a, d|ez80_strict|_||BA
cp a, d|ez80_z80|_||BA
cp a, d|ez80_z80_strict|_||BA
cp a, d|gbz80|_||BA
cp a, d|kc160|_||BA
cp a, d|kc160_z80|_||BA
cp a, d|r2ka|_||BA
cp a, d|r3k|_||BA
cp a, d|r4k|_||7F;BA
cp a, d|r5k|_||7F;BA
cp a, d|r6k|_||7F;BA
cp a, d|r800|_||BA
cp a, d|z180|_||BA
cp a, d|z80|_||BA
cp a, d|z80n|_||BA
cp a, e|8080|_||BB
cp a, e|8085|_||BB
cp a, e|ez80|_||BB
cp a, e|ez80_strict|_||BB
cp a, e|ez80_z80|_||BB
cp a, e|ez80_z80_strict|_||BB
cp a, e|gbz80|_||BB
cp a, e|kc160|_||BB
cp a, e|kc160_z80|_||BB
cp a, e|r2ka|_||BB
cp a, e|r3k|_||BB
cp a, e|r4k|_||7F;BB
cp a, e|r5k|_||7F;BB
cp a, e|r6k|_||7F;BB
cp a, e|r800|_||BB
cp a, e|z180|_||BB
cp a, e|z80|_||BB
cp a, e|z80n|_||BB
cp a, h|8080|_||BC
cp a, h|8085|_||BC
cp a, h|ez80|_||BC
cp a, h|ez80_strict|_||BC
cp a, h|ez80_z80|_||BC
cp a, h|ez80_z80_strict|_||BC
cp a, h|gbz80|_||BC
cp a, h|kc160|_||BC
cp a, h|kc160_z80|_||BC
cp a, h|r2ka|_||BC
cp a, h|r3k|_||BC
cp a, h|r4k|_||7F;BC
cp a, h|r5k|_||7F;BC
cp a, h|r6k|_||7F;BC
cp a, h|r800|_||BC
cp a, h|z180|_||BC
cp a, h|z80|_||BC
cp a, h|z80n|_||BC
cp a, ixh|ez80|_||DD BC
cp a, ixh|ez80_strict|_||DD BC
cp a, ixh|ez80_z80|_||DD BC
cp a, ixh|ez80_z80_strict|_||DD BC
cp a, ixh|r800|_||DD BC
cp a, ixh|z80|_||DD BC
cp a, ixh|z80n|_||DD BC
cp a, ixl|ez80|_||DD BD
cp a, ixl|ez80_strict|_||DD BD
cp a, ixl|ez80_z80|_||DD BD
cp a, ixl|ez80_z80_strict|_||DD BD
cp a, ixl|r800|_||DD BD
cp a, ixl|z80|_||DD BD
cp a, ixl|z80n|_||DD BD
cp a, iyh|ez80|_||FD BC
cp a, iyh|ez80_strict|_||FD BC
cp a, iyh|ez80_z80|_||FD BC
cp a, iyh|ez80_z80_strict|_||FD BC
cp a, iyh|r800|_||FD BC
cp a, iyh|z80|_||FD BC
cp a, iyh|z80n|_||FD BC
cp a, iyl|ez80|_||FD BD
cp a, iyl|ez80_strict|_||FD BD
cp a, iyl|ez80_z80|_||FD BD
cp a, iyl|ez80_z80_strict|_||FD BD
cp a, iyl|r800|_||FD BD
cp a, iyl|z80|_||FD BD
cp a, iyl|z80n|_||FD BD
cp a, l|8080|_||BD
cp a, l|8085|_||BD
cp a, l|ez80|_||BD
cp a, l|ez80_strict|_||BD
cp a, l|ez80_z80|_||BD
cp a, l|ez80_z80_strict|_||BD
cp a, l|gbz80|_||BD
cp a, l|kc160|_||BD
cp a, l|kc160_z80|_||BD
cp a, l|r2ka|_||BD
cp a, l|r3k|_||BD
cp a, l|r4k|_||7F;BD
cp a, l|r5k|_||7F;BD
cp a, l|r6k|_||7F;BD
cp a, l|r800|_||BD
cp a, l|z180|_||BD
cp a, l|z80|_||BD
cp a, l|z80n|_||BD
cp b|8080|_||B8
cp b|8085|_||B8
cp b|ez80|_||B8
cp b|ez80_z80|_||B8
cp b|gbz80|_||B8
cp b|gbz80_strict|_||B8
cp b|kc160|_||B8
cp b|kc160_strict|_||B8
cp b|kc160_z80|_||B8
cp b|kc160_z80_strict|_||B8
cp b|r2ka|_||B8
cp b|r2ka_strict|_||B8
cp b|r3k|_||B8
cp b|r3k_strict|_||B8
cp b|r4k|_||7F;B8
cp b|r4k_strict|_||7F;B8
cp b|r5k|_||7F;B8
cp b|r5k_strict|_||7F;B8
cp b|r6k|_||7F;B8
cp b|r6k_strict|_||7F;B8
cp b|r800|_||B8
cp b|r800_strict|_||B8
cp b|z180|_||B8
cp b|z180_strict|_||B8
cp b|z80|_||B8
cp b|z80_strict|_||B8
cp b|z80n|_||B8
cp b|z80n_strict|_||B8
cp b'|r2ka|_||76;B8
cp b'|r2ka_strict|_||76;B8
cp b'|r3k|_||76;B8
cp b'|r3k_strict|_||76;B8
cp b'|r4k|_||76;7F;B8
cp b'|r4k_strict|_||76;7F;B8
cp b'|r5k|_||76;7F;B8
cp b'|r5k_strict|_||76;7F;B8
cp b'|r6k|_||76;7F;B8
cp b'|r6k_strict|_||76;7F;B8
cp c|8080|_||B9
cp c|8085|_||B9
cp c|ez80|_||B9
cp c|ez80_z80|_||B9
cp c|gbz80|_||B9
cp c|gbz80_strict|_||B9
cp c|kc160|_||B9
cp c|kc160_strict|_||B9
cp c|kc160_z80|_||B9
cp c|kc160_z80_strict|_||B9
cp c|r2ka|_||B9
cp c|r2ka_strict|_||B9
cp c|r3k|_||B9
cp c|r3k_strict|_||B9
cp c|r4k|_||7F;B9
cp c|r4k_strict|_||7F;B9
cp c|r5k|_||7F;B9
cp c|r5k_strict|_||7F;B9
cp c|r6k|_||7F;B9
cp c|r6k_strict|_||7F;B9
cp c|r800|_||B9
cp c|r800_strict|_||B9
cp c|z180|_||B9
cp c|z180_strict|_||B9
cp c|z80|_||B9
cp c|z80_strict|_||B9
cp c|z80n|_||B9
cp c|z80n_strict|_||B9
cp c'|r2ka|_||76;B9
cp c'|r2ka_strict|_||76;B9
cp c'|r3k|_||76;B9
cp c'|r3k_strict|_||76;B9
cp c'|r4k|_||76;7F;B9
cp c'|r4k_strict|_||76;7F;B9
cp c'|r5k|_||76;7F;B9
cp c'|r5k_strict|_||76;7F;B9
cp c'|r6k|_||76;7F;B9
cp c'|r6k_strict|_||76;7F;B9
cp d|8080|_||BA
cp d|8085|_||BA
cp d|ez80|_||BA
cp d|ez80_z80|_||BA
cp d|gbz80|_||BA
cp d|gbz80_strict|_||BA
cp d|kc160|_||BA
cp d|kc160_strict|_||BA
cp d|kc160_z80|_||BA
cp d|kc160_z80_strict|_||BA
cp d|r2ka|_||BA
cp d|r2ka_strict|_||BA
cp d|r3k|_||BA
cp d|r3k_strict|_||BA
cp d|r4k|_||7F;BA
cp d|r4k_strict|_||7F;BA
cp d|r5k|_||7F;BA
cp d|r5k_strict|_||7F;BA
cp d|r6k|_||7F;BA
cp d|r6k_strict|_||7F;BA
cp d|r800|_||BA
cp d|r800_strict|_||BA
cp d|z180|_||BA
cp d|z180_strict|_||BA
cp d|z80|_||BA
cp d|z80_strict|_||BA
cp d|z80n|_||BA
cp d|z80n_strict|_||BA
cp d'|r2ka|_||76;BA
cp d'|r2ka_strict|_||76;BA
cp d'|r3k|_||76;BA
cp d'|r3k_strict|_||76;BA
cp d'|r4k|_||76;7F;BA
cp d'|r4k_strict|_||76;7F;BA
cp d'|r5k|_||76;7F;BA
cp d'|r5k_strict|_||76;7F;BA
cp d'|r6k|_||76;7F;BA
cp d'|r6k_strict|_||76;7F;BA
cp e|8080|_||BB
cp e|8085|_||BB
cp e|ez80|_||BB
cp e|ez80_z80|_||BB
cp e|gbz80|_||BB
cp e|gbz80_strict|_||BB
cp e|kc160|_||BB
cp e|kc160_strict|_||BB
cp e|kc160_z80|_||BB
cp e|kc160_z80_strict|_||BB
cp e|r2ka|_||BB
cp e|r2ka_strict|_||BB
cp e|r3k|_||BB
cp e|r3k_strict|_||BB
cp e|r4k|_||7F;BB
cp e|r4k_strict|_||7F;BB
cp e|r5k|_||7F;BB
cp e|r5k_strict|_||7F;BB
cp e|r6k|_||7F;BB
cp e|r6k_strict|_||7F;BB
cp e|r800|_||BB
cp e|r800_strict|_||BB
cp e|z180|_||BB
cp e|z180_strict|_||BB
cp e|z80|_||BB
cp e|z80_strict|_||BB
cp e|z80n|_||BB
cp e|z80n_strict|_||BB
cp e'|r2ka|_||76;BB
cp e'|r2ka_strict|_||76;BB
cp e'|r3k|_||76;BB
cp e'|r3k_strict|_||76;BB
cp e'|r4k|_||76;7F;BB
cp e'|r4k_strict|_||76;7F;BB
cp e'|r5k|_||76;7F;BB
cp e'|r5k_strict|_||76;7F;BB
cp e'|r6k|_||76;7F;BB
cp e'|r6k_strict|_||76;7F;BB
cp h|8080|_||BC
cp h|8085|_||BC
cp h|ez80|_||BC
cp h|ez80_z80|_||BC
cp h|gbz80|_||BC
cp h|gbz80_strict|_||BC
cp h|kc160|_||BC
cp h|kc160_strict|_||BC
cp h|kc160_z80|_||BC
cp h|kc160_z80_strict|_||BC
cp h|r2ka|_||BC
cp h|r2ka_strict|_||BC
cp h|r3k|_||BC
cp h|r3k_strict|_||BC
cp h|r4k|_||7F;BC
cp h|r4k_strict|_||7F;BC
cp h|r5k|_||7F;BC
cp h|r5k_strict|_||7F;BC
cp h|r6k|_||7F;BC
cp h|r6k_strict|_||7F;BC
cp h|r800|_||BC
cp h|r800_strict|_||BC
cp h|z180|_||BC
cp h|z180_strict|_||BC
cp h|z80|_||BC
cp h|z80_strict|_||BC
cp h|z80n|_||BC
cp h|z80n_strict|_||BC
cp h'|r2ka|_||76;BC
cp h'|r2ka_strict|_||76;BC
cp h'|r3k|_||76;BC
cp h'|r3k_strict|_||76;BC
cp h'|r4k|_||76;7F;BC
cp h'|r4k_strict|_||76;7F;BC
cp h'|r5k|_||76;7F;BC
cp h'|r5k_strict|_||76;7F;BC
cp h'|r6k|_||76;7F;BC
cp h'|r6k_strict|_||76;7F;BC
cp hl', %d|r4k|_||76;48 %d
cp hl', %d|r4k_strict|_||76;48 %d
cp hl', %d|r5k|_||76;48 %d
cp hl', %d|r5k_strict|_||76;48 %d
cp hl', %d|r6k|_||76;48 %d
cp hl', %d|r6k_strict|_||76;48 %d
cp hl', de|r4k|_||76;ED 48
cp hl', de|r4k_strict|_||76;ED 48
cp hl', de|r5k|_||76;ED 48
cp hl', de|r5k_strict|_||76;ED 48
cp hl', de|r6k|_||76;ED 48
cp hl', de|r6k_strict|_||76;ED 48
cp hl, %d|r4k|_||48 %d
cp hl, %d|r4k_strict|_||48 %d
cp hl, %d|r5k|_||48 %d
cp hl, %d|r5k_strict|_||48 %d
cp hl, %d|r6k|_||48 %d
cp hl, %d|r6k_strict|_||48 %d
cp hl, (ix)|r6k|_||DD B1 00
cp hl, (ix)|r6k_strict|_||DD B1 00
cp hl, (ix+%d)|r6k|_||DD B1 %d
cp hl, (ix+%d)|r6k_strict|_||DD B1 %d
cp hl, (iy)|r6k|_||FD B1 00
cp hl, (iy)|r6k_strict|_||FD B1 00
cp hl, (iy+%d)|r6k|_||FD B1 %d
cp hl, (iy+%d)|r6k_strict|_||FD B1 %d
cp hl, (pw)|r6k|_||49;78 00
cp hl, (pw)|r6k_strict|_||49;78 00
cp hl, (pw+%d)|r6k|_||49;78 %d
cp hl, (pw+%d)|r6k_strict|_||49;78 %d
cp hl, (px)|r6k|_||49;79 00
cp hl, (px)|r6k_strict|_||49;79 00
cp hl, (px+%d)|r6k|_||49;79 %d
cp hl, (px+%d)|r6k_strict|_||49;79 %d
cp hl, (py)|r6k|_||49;7A 00
cp hl, (py)|r6k_strict|_||49;7A 00
cp hl, (py+%d)|r6k|_||49;7A %d
cp hl, (py+%d)|r6k_strict|_||49;7A %d
cp hl, (pz)|r6k|_||49;7B 00
cp hl, (pz)|r6k_strict|_||49;7B 00
cp hl, (pz+%d)|r6k|_||49;7B %d
cp hl, (pz+%d)|r6k_strict|_||49;7B %d
cp hl, (sp+%n)|r6k|_||49;FA %n
cp hl, (sp+%n)|r6k_strict|_||49;FA %n
cp hl, de|r4k|_||ED 48
cp hl, de|r4k_strict|_||ED 48
cp hl, de|r5k|_||ED 48
cp hl, de|r5k_strict|_||ED 48
cp hl, de|r6k|_||ED 48
cp hl, de|r6k_strict|_||ED 48
cp ixh|ez80|_||DD BC
cp ixh|ez80_z80|_||DD BC
cp ixh|r800|_||DD BC
cp ixh|r800_strict|_||DD BC
cp ixh|z80|_||DD BC
cp ixh|z80n|_||DD BC
cp ixh|z80n_strict|_||DD BC
cp ixl|ez80|_||DD BD
cp ixl|ez80_z80|_||DD BD
cp ixl|r800|_||DD BD
cp ixl|r800_strict|_||DD BD
cp ixl|z80|_||DD BD
cp ixl|z80n|_||DD BD
cp ixl|z80n_strict|_||DD BD
cp iyh|ez80|_||FD BC
cp iyh|ez80_z80|_||FD BC
cp iyh|r800|_||FD BC
cp iyh|r800_strict|_||FD BC
cp iyh|z80|_||FD BC
cp iyh|z80n|_||FD BC
cp iyh|z80n_strict|_||FD BC
cp iyl|ez80|_||FD BD
cp iyl|ez80_z80|_||FD BD
cp iyl|r800|_||FD BD
cp iyl|r800_strict|_||FD BD
cp iyl|z80|_||FD BD
cp iyl|z80n|_||FD BD
cp iyl|z80n_strict|_||FD BD
cp jkhl', bcde|r4k|_||76;ED 58
cp jkhl', bcde|r4k_strict|_||76;ED 58
cp jkhl', bcde|r5k|_||76;ED 58
cp jkhl', bcde|r5k_strict|_||76;ED 58
cp jkhl', bcde|r6k|_||76;ED 58
cp jkhl', bcde|r6k_strict|_||76;ED 58
cp jkhl, (ix)|r6k|_||DD B3 00
cp jkhl, (ix)|r6k_strict|_||DD B3 00
cp jkhl, (ix+%d)|r6k|_||DD B3 %d
cp jkhl, (ix+%d)|r6k_strict|_||DD B3 %d
cp jkhl, (iy)|r6k|_||FD B3 00
cp jkhl, (iy)|r6k_strict|_||FD B3 00
cp jkhl, (iy+%d)|r6k|_||FD B3 %d
cp jkhl, (iy+%d)|r6k_strict|_||FD B3 %d
cp jkhl, (pw)|r6k|_||49;7C 00
cp jkhl, (pw)|r6k_strict|_||49;7C 00
cp jkhl, (pw+%d)|r6k|_||49;7C %d
cp jkhl, (pw+%d)|r6k_strict|_||49;7C %d
cp jkhl, (px)|r6k|_||49;7D 00
cp jkhl, (px)|r6k_strict|_||49;7D 00
cp jkhl, (px+%d)|r6k|_||49;7D %d
cp jkhl, (px+%d)|r6k_strict|_||49;7D %d
cp jkhl, (py)|r6k|_||49;7E 00
cp jkhl, (py)|r6k_strict|_||49;7E 00
cp jkhl, (py+%d)|r6k|_||49;7E %d
cp jkhl, (py+%d)|r6k_strict|_||49;7E %d
cp jkhl, (pz)|r6k|_||49;7F;00
cp jkhl, (pz)|r6k_strict|_||49;7F;00
cp jkhl, (pz+%d)|r6k|_||49;7F %d
cp jkhl, (pz+%d)|r6k_strict|_||49;7F %d
cp jkhl, (sp+%n)|r6k|_||49;FB %n
cp jkhl, (sp+%n)|r6k_strict|_||49;FB %n
cp jkhl, bcde|r4k|_||ED 58
cp jkhl, bcde|r4k_strict|_||ED 58
cp jkhl, bcde|r5k|_||ED 58
cp jkhl, bcde|r5k_strict|_||ED 58
cp jkhl, bcde|r6k|_||ED 58
cp jkhl, bcde|r6k_strict|_||ED 58
cp jkhl, pw|r6k|_||49;70
cp jkhl, pw|r6k_strict|_||49;70
cp jkhl, px|r6k|_||49;71
cp jkhl, px|r6k_strict|_||49;71
cp jkhl, py|r6k|_||49;72
cp jkhl, py|r6k_strict|_||49;72
cp jkhl, pz|r6k|_||49;73
cp jkhl, pz|r6k_strict|_||49;73
cp l|8080|_||BD
cp l|8085|_||BD
cp l|ez80|_||BD
cp l|ez80_z80|_||BD
cp l|gbz80|_||BD
cp l|gbz80_strict|_||BD
cp l|kc160|_||BD
cp l|kc160_strict|_||BD
cp l|kc160_z80|_||BD
cp l|kc160_z80_strict|_||BD
cp l|r2ka|_||BD
cp l|r2ka_strict|_||BD
cp l|r3k|_||BD
cp l|r3k_strict|_||BD
cp l|r4k|_||7F;BD
cp l|r4k_strict|_||7F;BD
cp l|r5k|_||7F;BD
cp l|r5k_strict|_||7F;BD
cp l|r6k|_||7F;BD
cp l|r6k_strict|_||7F;BD
cp l|r800|_||BD
cp l|r800_strict|_||BD
cp l|z180|_||BD
cp l|z180_strict|_||BD
cp l|z80|_||BD
cp l|z80_strict|_||BD
cp l|z80n|_||BD
cp l|z80n_strict|_||BD
cp l'|r2ka|_||76;BD
cp l'|r2ka_strict|_||76;BD
cp l'|r3k|_||76;BD
cp l'|r3k_strict|_||76;BD
cp l'|r4k|_||76;7F;BD
cp l'|r4k_strict|_||76;7F;BD
cp l'|r5k|_||76;7F;BD
cp l'|r5k_strict|_||76;7F;BD
cp l'|r6k|_||76;7F;BD
cp l'|r6k_strict|_||76;7F;BD
cp.l (hl)|ez80_z80|_||49;BE
cp.l (hl+)|ez80_z80|X||49;BE;49;23
cp.l (hl-)|ez80_z80|X||49;BE;49;2B
cp.l (ix)|ez80_z80|_||49;DD BE 00
cp.l (ix+%d)|ez80_z80|_||49;DD BE %d
cp.l (iy)|ez80_z80|_||49;FD BE 00
cp.l (iy+%d)|ez80_z80|_||49;FD BE %d
cp.l a, (hl)|ez80_z80|_||49;BE
cp.l a, (hl)|ez80_z80_strict|_||49;BE
cp.l a, (hl+)|ez80_z80|X||49;BE;49;23
cp.l a, (hl-)|ez80_z80|X||49;BE;49;2B
cp.l a, (ix)|ez80_z80|_||49;DD BE 00
cp.l a, (ix)|ez80_z80_strict|_||49;DD BE 00
cp.l a, (ix+%d)|ez80_z80|_||49;DD BE %d
cp.l a, (ix+%d)|ez80_z80_strict|_||49;DD BE %d
cp.l a, (iy)|ez80_z80|_||49;FD BE 00
cp.l a, (iy)|ez80_z80_strict|_||49;FD BE 00
cp.l a, (iy+%d)|ez80_z80|_||49;FD BE %d
cp.l a, (iy+%d)|ez80_z80_strict|_||49;FD BE %d
cp.lis (hl)|ez80_z80|_||49;BE
cp.lis (hl+)|ez80_z80|X||49;BE;49;23
cp.lis (hl-)|ez80_z80|X||49;BE;49;2B
cp.lis (ix)|ez80_z80|_||49;DD BE 00
cp.lis (ix+%d)|ez80_z80|_||49;DD BE %d
cp.lis (iy)|ez80_z80|_||49;FD BE 00
cp.lis (iy+%d)|ez80_z80|_||49;FD BE %d
cp.lis a, (hl)|ez80_z80|_||49;BE
cp.lis a, (hl)|ez80_z80_strict|_||49;BE
cp.lis a, (hl+)|ez80_z80|X||49;BE;49;23
cp.lis a, (hl-)|ez80_z80|X||49;BE;49;2B
cp.lis a, (ix)|ez80_z80|_||49;DD BE 00
cp.lis a, (ix)|ez80_z80_strict|_||49;DD BE 00
cp.lis a, (ix+%d)|ez80_z80|_||49;DD BE %d
cp.lis a, (ix+%d)|ez80_z80_strict|_||49;DD BE %d
cp.lis a, (iy)|ez80_z80|_||49;FD BE 00
cp.lis a, (iy)|ez80_z80_strict|_||49;FD BE 00
cp.lis a, (iy+%d)|ez80_z80|_||49;FD BE %d
cp.lis a, (iy+%d)|ez80_z80_strict|_||49;FD BE %d
cp.s (hl)|ez80|_||52;BE
cp.s (hl+)|ez80|X||52;BE;52;23
cp.s (hl-)|ez80|X||52;BE;52;2B
cp.s (ix)|ez80|_||52;DD BE 00
cp.s (ix+%d)|ez80|_||52;DD BE %d
cp.s (iy)|ez80|_||52;FD BE 00
cp.s (iy+%d)|ez80|_||52;FD BE %d
cp.s a, (hl)|ez80|_||52;BE
cp.s a, (hl)|ez80_strict|_||52;BE
cp.s a, (hl+)|ez80|X||52;BE;52;23
cp.s a, (hl-)|ez80|X||52;BE;52;2B
cp.s a, (ix)|ez80|_||52;DD BE 00
cp.s a, (ix)|ez80_strict|_||52;DD BE 00
cp.s a, (ix+%d)|ez80|_||52;DD BE %d
cp.s a, (ix+%d)|ez80_strict|_||52;DD BE %d
cp.s a, (iy)|ez80|_||52;FD BE 00
cp.s a, (iy)|ez80_strict|_||52;FD BE 00
cp.s a, (iy+%d)|ez80|_||52;FD BE %d
cp.s a, (iy+%d)|ez80_strict|_||52;FD BE %d
cp.sil (hl)|ez80|_||52;BE
cp.sil (hl+)|ez80|X||52;BE;52;23
cp.sil (hl-)|ez80|X||52;BE;52;2B
cp.sil (ix)|ez80|_||52;DD BE 00
cp.sil (ix+%d)|ez80|_||52;DD BE %d
cp.sil (iy)|ez80|_||52;FD BE 00
cp.sil (iy+%d)|ez80|_||52;FD BE %d
cp.sil a, (hl)|ez80|_||52;BE
cp.sil a, (hl)|ez80_strict|_||52;BE
cp.sil a, (hl+)|ez80|X||52;BE;52;23
cp.sil a, (hl-)|ez80|X||52;BE;52;2B
cp.sil a, (ix)|ez80|_||52;DD BE 00
cp.sil a, (ix)|ez80_strict|_||52;DD BE 00
cp.sil a, (ix+%d)|ez80|_||52;DD BE %d
cp.sil a, (ix+%d)|ez80_strict|_||52;DD BE %d
cp.sil a, (iy)|ez80|_||52;FD BE 00
cp.sil a, (iy)|ez80_strict|_||52;FD BE 00
cp.sil a, (iy+%d)|ez80|_||52;FD BE %d
cp.sil a, (iy+%d)|ez80_strict|_||52;FD BE %d
cpd|8080|X||CD @__z80asm__cpd 
cpd|8085|X||CD @__z80asm__cpd 
cpd|ez80|_||ED A9
cpd|ez80_strict|_||ED A9
cpd|ez80_z80|_||ED A9
cpd|ez80_z80_strict|_||ED A9
cpd|gbz80|X||CD @__z80asm__cpd 
cpd|kc160|_||ED A9
cpd|kc160_strict|_||ED A9
cpd|kc160_z80|_||ED A9
cpd|kc160_z80_strict|_||ED A9
cpd|r2ka|X||CD @__z80asm__cpd 
cpd|r3k|X||CD @__z80asm__cpd 
cpd|r4k|X||CD @__z80asm__cpd 
cpd|r5k|X||CD @__z80asm__cpd 
cpd|r6k|X||CD @__z80asm__cpd 
cpd|r800|_||ED A9
cpd|r800_strict|_||ED A9
cpd|z180|_||ED A9
cpd|z180_strict|_||ED A9
cpd|z80|_||ED A9
cpd|z80_strict|_||ED A9
