asm|cpu|synth
and iy, de|r800|push af;ld a, iyh;and d;ld iyh, a;ld a, iyl;and e;ld iyl, a;pop af
and iy, de|z80|push af;ld a, iyh;and d;ld iyh, a;ld a, iyl;and e;ld iyl, a;pop af
and iy, de|z80n|push af;ld a, iyh;and d;ld iyh, a;ld a, iyl;and e;ld iyl, a;pop af
and.l (hl+)|ez80_z80|and.lis a, (hl);inc.lis hl
and.l (hl-)|ez80_z80|and.lis a, (hl);dec.lis hl
and.l a, (hl+)|ez80_z80|and.lis a, (hl);inc.lis hl
and.l a, (hl-)|ez80_z80|and.lis a, (hl);dec.lis hl
and.lis (hl+)|ez80_z80|and.lis a, (hl);inc.lis hl
and.lis (hl-)|ez80_z80|and.lis a, (hl);dec.lis hl
and.lis a, (hl+)|ez80_z80|and.lis a, (hl);inc.lis hl
and.lis a, (hl-)|ez80_z80|and.lis a, (hl);dec.lis hl
and.s (hl+)|ez80|and.sil a, (hl);inc.sil hl
and.s (hl-)|ez80|and.sil a, (hl);dec.sil hl
and.s a, (hl+)|ez80|and.sil a, (hl);inc.sil hl
and.s a, (hl-)|ez80|and.sil a, (hl);dec.sil hl
and.sil (hl+)|ez80|and.sil a, (hl);inc.sil hl
and.sil (hl-)|ez80|and.sil a, (hl);dec.sil hl
and.sil a, (hl+)|ez80|and.sil a, (hl);inc.sil hl
and.sil a, (hl-)|ez80|and.sil a, (hl);dec.sil hl
arhl|8080|extern __z80asm__sra_hl;call __z80asm__sra_hl
arhl|ez80|sra h;rr l
arhl|ez80_z80|sra h;rr l
arhl|gbz80|sra h;rr l
arhl|kc160|sra h;rr l
arhl|kc160_z80|sra h;rr l
arhl|r2ka|sra h;rr l
arhl|r3k|sra h;rr l
arhl|r4k|sra h;rr l
arhl|r5k|sra h;rr l
arhl|r6k|sra h;rr l
arhl|r800|sra h;rr l
arhl|z180|sra h;rr l
arhl|z80|sra h;rr l
arhl|z80n|sra h;rr l
bool hl|8080|push psw;mov a, h;ora l;jz %t1;ld hl, 1;%t1:;pop psw
bool hl|8085|push psw;mov a, h;ora l;jz %t1;ld hl, 1;%t1:;pop psw
bool hl|ez80|push af;ld a, h;or a, l;jr z, %t1;ld hl, 1;%t1:;pop af
bool hl|ez80_z80|push af;ld a, h;or a, l;jr z, %t1;ld hl, 1;%t1:;pop af
bool hl|gbz80|push af;ld a, h;or l;jr z, %t1;ld hl, 1;%t1:;pop af
bool hl|kc160|push af;ld a, h;or l;jr z, %t1;ld hl, 1;%t1:;pop af
bool hl|kc160_z80|push af;ld a, h;or l;jr z, %t1;ld hl, 1;%t1:;pop af
bool hl|r800|push af;ld a, h;or l;jr z, %t1;ld hl, 1;%t1:;pop af
bool hl|z180|push af;ld a, h;or l;jr z, %t1;ld hl, 1;%t1:;pop af
bool hl|z80|push af;ld a, h;or l;jr z, %t1;ld hl, 1;%t1:;pop af
bool hl|z80n|push af;ld a, h;or l;jr z, %t1;ld hl, 1;%t1:;pop af
bool ix|ez80|push af;ld a, ixh;or a, ixl;jr z, %t1;ld ix, 1;%t1:;pop af
bool ix|ez80_z80|push af;ld a, ixh;or a, ixl;jr z, %t1;ld ix, 1;%t1:;pop af
bool ix|kc160|push af;push hl;push ix;pop hl;ld a, h;or l;jr z, %t2;ld ix, 1;%t2:;pop hl;pop af
bool ix|kc160_z80|push af;push hl;push ix;pop hl;ld a, h;or l;jr z, %t2;ld ix, 1;%t2:;pop hl;pop af
bool ix|r800|push af;ld a, ixh;or ixl;jr z, %t1;ld ix, 1;%t1:;pop af
bool ix|z180|push af;push hl;push ix;pop hl;ld a, h;or l;jr z, %t2;ld ix, 1;%t2:;pop hl;pop af
bool ix|z80|push af;ld a, ixh;or ixl;jr z, %t1;ld ix, 1;%t1:;pop af
bool ix|z80n|push af;ld a, ixh;or ixl;jr z, %t1;ld ix, 1;%t1:;pop af
bool iy|ez80|push af;ld a, iyh;or a, iyl;jr z, %t1;ld iy, 1;%t1:;pop af
bool iy|ez80_z80|push af;ld a, iyh;or a, iyl;jr z, %t1;ld iy, 1;%t1:;pop af
bool iy|kc160|push af;push hl;push iy;pop hl;ld a, h;or l;jr z, %t2;ld iy, 1;%t2:;pop hl;pop af
bool iy|kc160_z80|push af;push hl;push iy;pop hl;ld a, h;or l;jr z, %t2;ld iy, 1;%t2:;pop hl;pop af
bool iy|r800|push af;ld a, iyh;or iyl;jr z, %t1;ld iy, 1;%t1:;pop af
bool iy|z180|push af;push hl;push iy;pop hl;ld a, h;or l;jr z, %t2;ld iy, 1;%t2:;pop hl;pop af
bool iy|z80|push af;ld a, iyh;or iyl;jr z, %t1;ld iy, 1;%t1:;pop af
bool iy|z80n|push af;ld a, iyh;or iyl;jr z, %t1;ld iy, 1;%t1:;pop af
c_c %m|r2ka|jr nc, %t;call %m;%t:
c_c %m|r3k|jr nc, %t;call %m;%t:
c_c %m|r4k|jr nc, %t;call %m;%t:
c_c %m|r5k|jr nc, %t;call %m;%t:
c_c %m|r6k|jr nc, %t;call %m;%t:
c_eq %m|8080|cz %m
c_eq %m|8085|cz %m
c_eq %m|ez80|call z, %m
c_eq %m|ez80_z80|call z, %m
c_eq %m|gbz80|call z, %m
c_eq %m|kc160|call z, %m
c_eq %m|kc160_z80|call z, %m
c_eq %m|r2ka|jr nz, %t;call %m;%t:
c_eq %m|r3k|jr nz, %t;call %m;%t:
c_eq %m|r4k|jr nz, %t;call %m;%t:
c_eq %m|r5k|jr nz, %t;call %m;%t:
c_eq %m|r6k|jr nz, %t;call %m;%t:
c_eq %m|r800|call z, %m
c_eq %m|z180|call z, %m
c_eq %m|z80|call z, %m
c_eq %m|z80n|call z, %m
c_geu %m|8080|cnc %m
c_geu %m|8085|cnc %m
c_geu %m|ez80|call nc, %m
c_geu %m|ez80_z80|call nc, %m
c_geu %m|gbz80|call nc, %m
c_geu %m|kc160|call nc, %m
c_geu %m|kc160_z80|call nc, %m
c_geu %m|r2ka|jr c, %t;call %m;%t:
c_geu %m|r3k|jr c, %t;call %m;%t:
c_geu %m|r4k|jr c, %t;call %m;%t:
c_geu %m|r5k|jr c, %t;call %m;%t:
c_geu %m|r6k|jr c, %t;call %m;%t:
c_geu %m|r800|call nc, %m
c_geu %m|z180|call nc, %m
c_geu %m|z80|call nc, %m
c_geu %m|z80n|call nc, %m
c_gtu %m|8080|jz %t;cnc %m;%t:
c_gtu %m|8085|jz %t;cnc %m;%t:
c_gtu %m|ez80|jr z, %t;call nc, %m;%t:
c_gtu %m|ez80_z80|jr z, %t;call nc, %m;%t:
c_gtu %m|gbz80|jr z, %t;call nc, %m;%t:
c_gtu %m|kc160|jr z, %t;call nc, %m;%t:
c_gtu %m|kc160_z80|jr z, %t;call nc, %m;%t:
c_gtu %m|r2ka|jr z, %t;jr c, %t;call %m;%t:
c_gtu %m|r3k|jr z, %t;jr c, %t;call %m;%t:
c_gtu %m|r4k|jr z, %t;jr c, %t;call %m;%t:
c_gtu %m|r5k|jr z, %t;jr c, %t;call %m;%t:
c_gtu %m|r6k|jr z, %t;jr c, %t;call %m;%t:
c_gtu %m|r800|jr z, %t;call nc, %m;%t:
c_gtu %m|z180|jr z, %t;call nc, %m;%t:
c_gtu %m|z80|jr z, %t;call nc, %m;%t:
c_gtu %m|z80n|jr z, %t;call nc, %m;%t:
c_leu %m|8080|jz %t3;jnc %t;%t3:;call %m;%t:
c_leu %m|8085|jz %t3;jnc %t;%t3:;call %m;%t:
c_leu %m|ez80|jr z, %t4;jr nc, %t;%t4:;call %m;%t:
c_leu %m|ez80_z80|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|gbz80|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|kc160|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|kc160_z80|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|r2ka|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|r3k|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|r4k|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|r5k|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|r6k|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|r800|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|z180|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|z80|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_leu %m|z80n|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
c_lo %m|r2ka|jp po, %t;call %m;%t:
c_lo %m|r3k|jp po, %t;call %m;%t:
c_lo %m|r4k|jp po, %t;call %m;%t:
c_lo %m|r5k|jp po, %t;call %m;%t:
c_lo %m|r6k|jp po, %t;call %m;%t:
c_ltu %m|8080|cc %m
c_ltu %m|8085|cc %m
c_ltu %m|ez80|call c, %m
c_ltu %m|ez80_z80|call c, %m
c_ltu %m|gbz80|call c, %m
c_ltu %m|kc160|call c, %m
c_ltu %m|kc160_z80|call c, %m
c_ltu %m|r2ka|jr nc, %t;call %m;%t:
c_ltu %m|r3k|jr nc, %t;call %m;%t:
c_ltu %m|r4k|jr nc, %t;call %m;%t:
c_ltu %m|r5k|jr nc, %t;call %m;%t:
c_ltu %m|r6k|jr nc, %t;call %m;%t:
c_ltu %m|r800|call c, %m
c_ltu %m|z180|call c, %m
c_ltu %m|z80|call c, %m
c_ltu %m|z80n|call c, %m
c_lz %m|r2ka|jp v, %t;call %m;%t:
c_lz %m|r3k|jp v, %t;call %m;%t:
c_lz %m|r4k|jp pe, %t;call %m;%t:
c_lz %m|r5k|jp pe, %t;call %m;%t:
c_lz %m|r6k|jp pe, %t;call %m;%t:
c_m %m|r2ka|jp p, %t;call %m;%t:
c_m %m|r3k|jp p, %t;call %m;%t:
c_m %m|r4k|jp p, %t;call %m;%t:
c_m %m|r5k|jp p, %t;call %m;%t:
c_m %m|r6k|jp p, %t;call %m;%t:
c_nc %m|r2ka|jr c, %t;call %m;%t:
c_nc %m|r3k|jr c, %t;call %m;%t:
c_nc %m|r4k|jr c, %t;call %m;%t:
c_nc %m|r5k|jr c, %t;call %m;%t:
c_nc %m|r6k|jr c, %t;call %m;%t:
c_ne %m|8080|cnz %m
c_ne %m|8085|cnz %m
c_ne %m|ez80|call nz, %m
c_ne %m|ez80_z80|call nz, %m
c_ne %m|gbz80|call nz, %m
c_ne %m|kc160|call nz, %m
c_ne %m|kc160_z80|call nz, %m
c_ne %m|r2ka|jr z, %t;call %m;%t:
c_ne %m|r3k|jr z, %t;call %m;%t:
c_ne %m|r4k|jr z, %t;call %m;%t:
c_ne %m|r5k|jr z, %t;call %m;%t:
c_ne %m|r6k|jr z, %t;call %m;%t:
c_ne %m|r800|call nz, %m
c_ne %m|z180|call nz, %m
c_ne %m|z80|call nz, %m
c_ne %m|z80n|call nz, %m
c_nv %m|8080|cpo %m
c_nv %m|8085|cpo %m
c_nv %m|ez80|call po, %m
c_nv %m|ez80_z80|call po, %m
c_nv %m|kc160|call po, %m
c_nv %m|kc160_z80|call po, %m
c_nv %m|r2ka|jp v, %t;call %m;%t:
c_nv %m|r3k|jp v, %t;call %m;%t:
c_nv %m|r4k|jp v, %t;call %m;%t:
c_nv %m|r5k|jp v, %t;call %m;%t:
c_nv %m|r6k|jp v, %t;call %m;%t:
c_nv %m|r800|call po, %m
c_nv %m|z180|call po, %m
c_nv %m|z80|call po, %m
c_nv %m|z80n|call po, %m
c_nz %m|r2ka|jr z, %t;call %m;%t:
c_nz %m|r3k|jr z, %t;call %m;%t:
c_nz %m|r4k|jr z, %t;call %m;%t:
c_nz %m|r5k|jr z, %t;call %m;%t:
c_nz %m|r6k|jr z, %t;call %m;%t:
c_p %m|r2ka|jp m, %t;call %m;%t:
c_p %m|r3k|jp m, %t;call %m;%t:
c_p %m|r4k|jp m, %t;call %m;%t:
c_p %m|r5k|jp m, %t;call %m;%t:
c_p %m|r6k|jp m, %t;call %m;%t:
c_pe %m|r2ka|jp po, %t;call %m;%t:
c_pe %m|r3k|jp po, %t;call %m;%t:
c_pe %m|r4k|jp po, %t;call %m;%t:
c_pe %m|r5k|jp po, %t;call %m;%t:
c_pe %m|r6k|jp po, %t;call %m;%t:
c_po %m|r2ka|jp v, %t;call %m;%t:
c_po %m|r3k|jp v, %t;call %m;%t:
c_po %m|r4k|jp pe, %t;call %m;%t:
c_po %m|r5k|jp pe, %t;call %m;%t:
c_po %m|r6k|jp pe, %t;call %m;%t:
c_v %m|8080|cpe %m
c_v %m|8085|cpe %m
c_v %m|ez80|call pe, %m
c_v %m|ez80_z80|call pe, %m
c_v %m|kc160|call pe, %m
c_v %m|kc160_z80|call pe, %m
c_v %m|r2ka|jp po, %t;call %m;%t:
c_v %m|r3k|jp po, %t;call %m;%t:
c_v %m|r4k|jp v, %t3;jr %t;%t3:;call %m;%t:
c_v %m|r5k|jp v, %t3;jr %t;%t3:;call %m;%t:
c_v %m|r6k|jp v, %t3;jr %t;%t3:;call %m;%t:
c_v %m|r800|call pe, %m
c_v %m|z180|call pe, %m
c_v %m|z80|call pe, %m
c_v %m|z80n|call pe, %m
c_z %m|r2ka|jr nz, %t;call %m;%t:
c_z %m|r3k|jr nz, %t;call %m;%t:
c_z %m|r4k|jr nz, %t;call %m;%t:
c_z %m|r5k|jr nz, %t;call %m;%t:
c_z %m|r6k|jr nz, %t;call %m;%t:
call (hl)|8080|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|8085|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|ez80|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|ez80_z80|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|gbz80|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|kc160|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|kc160_z80|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|r2ka|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|r3k|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|r800|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|z180|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|z80|extern __z80asm__call_hl;call __z80asm__call_hl
call (hl)|z80n|extern __z80asm__call_hl;call __z80asm__call_hl
call (ix)|ez80|extern __z80asm__call_ix;call __z80asm__call_ix
call (ix)|ez80_z80|extern __z80asm__call_ix;call __z80asm__call_ix
call (ix)|kc160|extern __z80asm__call_ix;call __z80asm__call_ix
call (ix)|kc160_z80|extern __z80asm__call_ix;call __z80asm__call_ix
call (ix)|r2ka|extern __z80asm__call_ix;call __z80asm__call_ix
call (ix)|r3k|extern __z80asm__call_ix;call __z80asm__call_ix
call (ix)|r800|extern __z80asm__call_ix;call __z80asm__call_ix
call (ix)|z180|extern __z80asm__call_ix;call __z80asm__call_ix
call (ix)|z80|extern __z80asm__call_ix;call __z80asm__call_ix
call (ix)|z80n|extern __z80asm__call_ix;call __z80asm__call_ix
call (iy)|ez80|extern __z80asm__call_iy;call __z80asm__call_iy
call (iy)|ez80_z80|extern __z80asm__call_iy;call __z80asm__call_iy
call (iy)|kc160|extern __z80asm__call_iy;call __z80asm__call_iy
call (iy)|kc160_z80|extern __z80asm__call_iy;call __z80asm__call_iy
call (iy)|r2ka|extern __z80asm__call_iy;call __z80asm__call_iy
call (iy)|r3k|extern __z80asm__call_iy;call __z80asm__call_iy
call (iy)|r800|extern __z80asm__call_iy;call __z80asm__call_iy
call (iy)|z180|extern __z80asm__call_iy;call __z80asm__call_iy
call (iy)|z80|extern __z80asm__call_iy;call __z80asm__call_iy
call (iy)|z80n|extern __z80asm__call_iy;call __z80asm__call_iy
call c, %m|r2ka|jr nc, %t;call %m;%t:
call c, %m|r3k|jr nc, %t;call %m;%t:
call c, %m|r4k|jr nc, %t;call %m;%t:
call c, %m|r5k|jr nc, %t;call %m;%t:
call c, %m|r6k|jr nc, %t;call %m;%t:
call eq, %m|8080|cz %m
call eq, %m|8085|cz %m
call eq, %m|ez80|call z, %m
call eq, %m|ez80_z80|call z, %m
call eq, %m|gbz80|call z, %m
call eq, %m|kc160|call z, %m
call eq, %m|kc160_z80|call z, %m
call eq, %m|r2ka|jr nz, %t;call %m;%t:
call eq, %m|r3k|jr nz, %t;call %m;%t:
call eq, %m|r4k|jr nz, %t;call %m;%t:
call eq, %m|r5k|jr nz, %t;call %m;%t:
call eq, %m|r6k|jr nz, %t;call %m;%t:
call eq, %m|r800|call z, %m
call eq, %m|z180|call z, %m
call eq, %m|z80|call z, %m
call eq, %m|z80n|call z, %m
call geu, %m|8080|cnc %m
call geu, %m|8085|cnc %m
call geu, %m|ez80|call nc, %m
call geu, %m|ez80_z80|call nc, %m
call geu, %m|gbz80|call nc, %m
call geu, %m|kc160|call nc, %m
call geu, %m|kc160_z80|call nc, %m
call geu, %m|r2ka|jr c, %t;call %m;%t:
call geu, %m|r3k|jr c, %t;call %m;%t:
call geu, %m|r4k|jr c, %t;call %m;%t:
call geu, %m|r5k|jr c, %t;call %m;%t:
call geu, %m|r6k|jr c, %t;call %m;%t:
call geu, %m|r800|call nc, %m
call geu, %m|z180|call nc, %m
call geu, %m|z80|call nc, %m
call geu, %m|z80n|call nc, %m
call gtu, %m|8080|jz %t;cnc %m;%t:
call gtu, %m|8085|jz %t;cnc %m;%t:
call gtu, %m|ez80|jr z, %t;call nc, %m;%t:
call gtu, %m|ez80_z80|jr z, %t;call nc, %m;%t:
call gtu, %m|gbz80|jr z, %t;call nc, %m;%t:
call gtu, %m|kc160|jr z, %t;call nc, %m;%t:
call gtu, %m|kc160_z80|jr z, %t;call nc, %m;%t:
call gtu, %m|r2ka|jr z, %t;jr c, %t;call %m;%t:
call gtu, %m|r3k|jr z, %t;jr c, %t;call %m;%t:
call gtu, %m|r4k|jr z, %t;jr c, %t;call %m;%t:
call gtu, %m|r5k|jr z, %t;jr c, %t;call %m;%t:
call gtu, %m|r6k|jr z, %t;jr c, %t;call %m;%t:
call gtu, %m|r800|jr z, %t;call nc, %m;%t:
call gtu, %m|z180|jr z, %t;call nc, %m;%t:
call gtu, %m|z80|jr z, %t;call nc, %m;%t:
call gtu, %m|z80n|jr z, %t;call nc, %m;%t:
call leu, %m|8080|jz %t3;jnc %t;%t3:;call %m;%t:
call leu, %m|8085|jz %t3;jnc %t;%t3:;call %m;%t:
call leu, %m|ez80|jr z, %t4;jr nc, %t;%t4:;call %m;%t:
call leu, %m|ez80_z80|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|gbz80|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|kc160|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|kc160_z80|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|r2ka|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|r3k|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|r4k|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|r5k|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|r6k|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|r800|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|z180|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|z80|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call leu, %m|z80n|jr z, %t3;jr nc, %t;%t3:;call %m;%t:
call lo, %m|r2ka|jp po, %t;call %m;%t:
call lo, %m|r3k|jp po, %t;call %m;%t:
call lo, %m|r4k|jp po, %t;call %m;%t:
call lo, %m|r5k|jp po, %t;call %m;%t:
call lo, %m|r6k|jp po, %t;call %m;%t:
call ltu, %m|8080|cc %m
call ltu, %m|8085|cc %m
call ltu, %m|ez80|call c, %m
call ltu, %m|ez80_z80|call c, %m
call ltu, %m|gbz80|call c, %m
call ltu, %m|kc160|call c, %m
call ltu, %m|kc160_z80|call c, %m
call ltu, %m|r2ka|jr nc, %t;call %m;%t:
call ltu, %m|r3k|jr nc, %t;call %m;%t:
call ltu, %m|r4k|jr nc, %t;call %m;%t:
call ltu, %m|r5k|jr nc, %t;call %m;%t:
call ltu, %m|r6k|jr nc, %t;call %m;%t:
call ltu, %m|r800|call c, %m
call ltu, %m|z180|call c, %m
call ltu, %m|z80|call c, %m
call ltu, %m|z80n|call c, %m
call lz, %m|r2ka|jp v, %t;call %m;%t:
call lz, %m|r3k|jp v, %t;call %m;%t:
call lz, %m|r4k|jp pe, %t;call %m;%t:
call lz, %m|r5k|jp pe, %t;call %m;%t:
call lz, %m|r6k|jp pe, %t;call %m;%t:
call m, %m|r2ka|jp p, %t;call %m;%t:
call m, %m|r3k|jp p, %t;call %m;%t:
call m, %m|r4k|jp p, %t;call %m;%t:
call m, %m|r5k|jp p, %t;call %m;%t:
call m, %m|r6k|jp p, %t;call %m;%t:
call nc, %m|r2ka|jr c, %t;call %m;%t:
call nc, %m|r3k|jr c, %t;call %m;%t:
call nc, %m|r4k|jr c, %t;call %m;%t:
call nc, %m|r5k|jr c, %t;call %m;%t:
call nc, %m|r6k|jr c, %t;call %m;%t:
call ne, %m|8080|cnz %m
call ne, %m|8085|cnz %m
call ne, %m|ez80|call nz, %m
call ne, %m|ez80_z80|call nz, %m
call ne, %m|gbz80|call nz, %m
call ne, %m|kc160|call nz, %m
call ne, %m|kc160_z80|call nz, %m
call ne, %m|r2ka|jr z, %t;call %m;%t:
call ne, %m|r3k|jr z, %t;call %m;%t:
call ne, %m|r4k|jr z, %t;call %m;%t:
call ne, %m|r5k|jr z, %t;call %m;%t:
call ne, %m|r6k|jr z, %t;call %m;%t:
call ne, %m|r800|call nz, %m
call ne, %m|z180|call nz, %m
call ne, %m|z80|call nz, %m
call ne, %m|z80n|call nz, %m
call nv, %m|8080|cpo %m
call nv, %m|8085|cpo %m
call nv, %m|ez80|call po, %m
call nv, %m|ez80_z80|call po, %m
call nv, %m|kc160|call po, %m
call nv, %m|kc160_z80|call po, %m
call nv, %m|r2ka|jp v, %t;call %m;%t:
call nv, %m|r3k|jp v, %t;call %m;%t:
call nv, %m|r4k|jp v, %t;call %m;%t:
call nv, %m|r5k|jp v, %t;call %m;%t:
call nv, %m|r6k|jp v, %t;call %m;%t:
call nv, %m|r800|call po, %m
call nv, %m|z180|call po, %m
call nv, %m|z80|call po, %m
call nv, %m|z80n|call po, %m
call nz, %m|r2ka|jr z, %t;call %m;%t:
call nz, %m|r3k|jr z, %t;call %m;%t:
call nz, %m|r4k|jr z, %t;call %m;%t:
call nz, %m|r5k|jr z, %t;call %m;%t:
call nz, %m|r6k|jr z, %t;call %m;%t:
call p, %m|r2ka|jp m, %t;call %m;%t:
call p, %m|r3k|jp m, %t;call %m;%t:
call p, %m|r4k|jp m, %t;call %m;%t:
call p, %m|r5k|jp m, %t;call %m;%t:
call p, %m|r6k|jp m, %t;call %m;%t:
call pe, %m|r2ka|jp po, %t;call %m;%t:
call pe, %m|r3k|jp po, %t;call %m;%t:
call pe, %m|r4k|jp po, %t;call %m;%t:
call pe, %m|r5k|jp po, %t;call %m;%t:
call pe, %m|r6k|jp po, %t;call %m;%t:
call po, %m|r2ka|jp v, %t;call %m;%t:
call po, %m|r3k|jp v, %t;call %m;%t:
call po, %m|r4k|jp pe, %t;call %m;%t:
call po, %m|r5k|jp pe, %t;call %m;%t:
call po, %m|r6k|jp pe, %t;call %m;%t:
call v, %m|8080|cpe %m
call v, %m|8085|cpe %m
call v, %m|ez80|call pe, %m
call v, %m|ez80_z80|call pe, %m
call v, %m|kc160|call pe, %m
call v, %m|kc160_z80|call pe, %m
call v, %m|r2ka|jp po, %t;call %m;%t:
call v, %m|r3k|jp po, %t;call %m;%t:
call v, %m|r4k|jp v, %t3;jr %t;%t3:;call %m;%t:
call v, %m|r5k|jp v, %t3;jr %t;%t3:;call %m;%t:
call v, %m|r6k|jp v, %t3;jr %t;%t3:;call %m;%t:
call v, %m|r800|call pe, %m
call v, %m|z180|call pe, %m
call v, %m|z80|call pe, %m
call v, %m|z80n|call pe, %m
call z, %m|r2ka|jr nz, %t;call %m;%t:
call z, %m|r3k|jr nz, %t;call %m;%t:
call z, %m|r4k|jr nz, %t;call %m;%t:
call z, %m|r5k|jr nz, %t;call %m;%t:
call z, %m|r6k|jr nz, %t;call %m;%t:
call.il eq, %m|ez80|call.lil z, %m
call.il eq, %m|ez80_z80|call.sil z, %m
call.il geu, %m|ez80|call.lil nc, %m
call.il geu, %m|ez80_z80|call.sil nc, %m
call.il gtu, %m|ez80|jr z, %t;call.lil nc, %m;%t:
call.il gtu, %m|ez80_z80|jr z, %t;call.sil nc, %m;%t:
call.il leu, %m|ez80|jr z, %t5;jr nc, %t;%t5:;call.lil %m;%t:
call.il leu, %m|ez80_z80|jr z, %t5;jr nc, %t;%t5:;call.sil %m;%t:
call.il ltu, %m|ez80|call.lil c, %m
call.il ltu, %m|ez80_z80|call.sil c, %m
call.il ne, %m|ez80|call.lil nz, %m
call.il ne, %m|ez80_z80|call.sil nz, %m
call.il nv, %m|ez80|call.lil po, %m
call.il nv, %m|ez80_z80|call.sil po, %m
call.il v, %m|ez80|call.lil pe, %m
call.il v, %m|ez80_z80|call.sil pe, %m
call.is eq, %m|ez80|call.lis z, %m
call.is eq, %m|ez80_z80|call.sis z, %m
call.is geu, %m|ez80|call.lis nc, %m
call.is geu, %m|ez80_z80|call.sis nc, %m
call.is gtu, %m|ez80|jr z, %t;call.lis nc, %m;%t:
call.is gtu, %m|ez80_z80|jr z, %t;call.sis nc, %m;%t:
call.is leu, %m|ez80|jr z, %t4;jr nc, %t;%t4:;call.lis %m;%t:
call.is leu, %m|ez80_z80|jr z, %t4;jr nc, %t;%t4:;call.sis %m;%t:
call.is ltu, %m|ez80|call.lis c, %m
call.is ltu, %m|ez80_z80|call.sis c, %m
call.is ne, %m|ez80|call.lis nz, %m
call.is ne, %m|ez80_z80|call.sis nz, %m
call.is nv, %m|ez80|call.lis po, %m
call.is nv, %m|ez80_z80|call.sis po, %m
call.is v, %m|ez80|call.lis pe, %m
call.is v, %m|ez80_z80|call.sis pe, %m
call.lil eq, %m|ez80|call.lil z, %m
call.lil geu, %m|ez80|call.lil nc, %m
call.lil gtu, %m|ez80|jr z, %t;call.lil nc, %m;%t:
call.lil leu, %m|ez80|jr z, %t5;jr nc, %t;%t5:;call.lil %m;%t:
call.lil ltu, %m|ez80|call.lil c, %m
call.lil ne, %m|ez80|call.lil nz, %m
call.lil nv, %m|ez80|call.lil po, %m
call.lil v, %m|ez80|call.lil pe, %m
call.lis eq, %m|ez80|call.lis z, %m
call.lis geu, %m|ez80|call.lis nc, %m
call.lis gtu, %m|ez80|jr z, %t;call.lis nc, %m;%t:
call.lis leu, %m|ez80|jr z, %t4;jr nc, %t;%t4:;call.lis %m;%t:
call.lis ltu, %m|ez80|call.lis c, %m
call.lis ne, %m|ez80|call.lis nz, %m
call.lis nv, %m|ez80|call.lis po, %m
call.lis v, %m|ez80|call.lis pe, %m
call.sil eq, %m|ez80_z80|call.sil z, %m
call.sil geu, %m|ez80_z80|call.sil nc, %m
call.sil gtu, %m|ez80_z80|jr z, %t;call.sil nc, %m;%t:
call.sil leu, %m|ez80_z80|jr z, %t5;jr nc, %t;%t5:;call.sil %m;%t:
call.sil ltu, %m|ez80_z80|call.sil c, %m
call.sil ne, %m|ez80_z80|call.sil nz, %m
call.sil nv, %m|ez80_z80|call.sil po, %m
call.sil v, %m|ez80_z80|call.sil pe, %m
call.sis eq, %m|ez80_z80|call.sis z, %m
call.sis geu, %m|ez80_z80|call.sis nc, %m
